"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
0A7,""Хендерсонвилл"",""Hendersonville"",""35.3187279:-82.4609528"",,""United States""
1G1,""Элирия"",""Elyria"",""41.368:-82.106"",,""United States""
AAA,""Анаа"",""Anaa"",""-17.36:-145.51"",""Pacific/Tahiti"",""French Polynesia""
AAB,""Аррабури"",""Arrabury"",""-26.69:141.05"",""Australia/Brisbane"",""Australia""
AAC,""Эль-Ариш"",""Al Arish"",""31.1319:33.8032"",""Africa/Khartoum"",""Egypt""
AAD,""Ад-Даббах"",""Ad-Dabbah"",""17.59:33.96"",""Asia/Baghdad"",""Sudan""
AAE,""Аннаба"",""Annaba"",""36.902859:7.755543"",""Africa/Algiers"",""Algeria""
AAF,""Апалачикола"",""Apalachicola"",""29.7257675:-84.9832435"",""+5.0"",""United States""
AAG,""Арапоти"",""Arapoti"",""-24.1453357:-49.8188324"",""America/Sao_Paulo"",""Brazil""
AAH,""Ахен"",""Aachen"",""50.7754385:6.0815102"",""Europe/Berlin"",""Germany""
AAI,""Арраяс"",""Arraias"",""-12.9264218:-46.9351817"",""America/Araguaina"",""Brazil""
AAJ,""Аварадам"",""Awaradam"",,""-3.0"",""Suriname""
AAK,""Аранука"",""Aranuka"",""0.1904667:173.6295222"",,""Kiribati""
AAL,""Ольборг"",""Aalborg"",""57.028811:9.917771"",""Europe/Copenhagen"",""Denmark""
AAM,""Мала Мала"",""Mala Mala"",""-24.82:31.54"",""Africa/Johannesburg"",""South Africa""
AAN,""Аль-Айн"",""Al Ain"",""24.2075:55.7447222"",""Asia/Amman"",""United Arab Emirates""
AAO,""Анако"",""Anaco"",""9.43:-64.47"",""America/Caracas"",""Venezuela""
AAQ,""Анапа"",""Anapa"",""44.8950197:37.3310394"",""Europe/Moscow"",""Russia""
AAR,""Орхус"",""Aarhus"",""56.162939:10.203921"",""Europe/Copenhagen"",""Denmark""
AAS,""Апалапзили"",""Apalapsili"",""-3.916667:139.25"",""Asia/Jayapura"",""Indonesia""
